CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type,2018,Footnotes,Type,2019,Footnotes,Type
891,Serbia and Montenegro,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,45349.8,,G,39489.9,,G,38415.5,,G,40579,,G,47473,,G,51033.6,,G,53699.5,,G,37044,,G,41147.4,,G,44213,,G,47267.6,,G,50542.3,,G,55225,,G,60179.1,,G, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
891,Serbia and Montenegro,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
690,Seychelles,567,Y,"Proportion of land area covered by forest, percentage",89.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,89.1,,C, , , , , , , , , , , , ,89.1,,C, , , , , , , , , , , , ,89.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
690,Seychelles,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",113.7,,G,143,,G,165,,G,161.3,,G,187,,G,187,,G,194.4,,G,407,,G,432.7,,G,506,,G,557.4,,G,634.4,,G,539,,G,550.1,,G,737.1,,G,689.4,,G,733.4,,G,641.7,,G,693.1,,G,740.7,,G,689.4,,G,597.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
690,Seychelles,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.04,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.04,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.05,,C, , , , , , , , , , , , , , , 
694,Sierra Leone,567,Y,"Proportion of land area covered by forest, percentage",43.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,40.8,,C, , , , , , , , , , , , ,39.4,,C, , , , , , , , , , , , ,38.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
694,Sierra Leone,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",388.7,,G,469.4,,G,293.4,,G,289.7,,G,348.4,,G,352,,G,385,,G,392.4,,G,366.7,,G,352,,G,425.4,,G,568.4,,G,608.7,,G,652.7,,G,641.7,,G,546.4,,G,733.4,,G,641.7,,G,663.7,,G,652.7,,G,726.1,,G,898.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
694,Sierra Leone,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.86,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.61,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.77,,C, , , , , , , , , , , , , , , 
702,Singapore,567,Y,"Proportion of land area covered by forest, percentage",2.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.9,,C, , , , , , , , , , , , ,2.9,,C, , , , , , , , , , , , ,2.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
702,Singapore,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",46941.3,,G,47425.3,,G,50267.2,,G,54627.3,,G,65367.9,,G,47109.9,,G,55305.7,,G,69240.3,,G,57293.2,,G,50069.2,,G,49005.8,,G,49541.2,,G,47231,,G,31132.8,,G,28474.3,,G,30359.1,,G,30799.1,,G,18195.7,,G,23846.5,,G,23831.8,,G,13479.9,,G,22394.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
702,Singapore,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.52,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.28,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.39,,C, , , , , , , , , , , , , , , 
703,Slovakia,567,Y,"Proportion of land area covered by forest, percentage",40,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,39.9,,C, , , , , , , , , , , , ,40.2,,C, , , , , , , , , , , , ,40.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
703,Slovakia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,44183.7,,G,42881.9,,G,40421.3,,G,42115.5,,G,41312.4,,G,41048.4,,G,40480,,G,39240.6,,G,35885.3,,G,39357.9,,G,39251.6,,G,39493.6,,G,38749.2,,G,39357.9,,G,39104.9,,G,36780,,G,37711.4,,G,34037.1,,G,36241,,G,34374.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
703,Slovakia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",14.83,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,19.48,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,36.63,,C, , , , , , , , , , , , , , , 
705,Slovenia,567,Y,"Proportion of land area covered by forest, percentage",59,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,61.2,,C, , , , , , , , , , , , ,61.7,,C, , , , , , , , , , , , ,62.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
705,Slovenia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,12478.8,,G,13164.5,,G,13340.5,,G,14404,,G,14954,,G,15859.8,,G,15192.4,,G,15276.7,,G,14396.6,,G,15163,,G,15419.7,,G,15511.4,,G,15746.1,,G,15867.1,,G,16244.8,,G,16244.8,,G,17245.9,,G,15394.1,,G,15427.1,,G,15405.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
705,Slovenia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",7.19,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.61,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,53.95,,C, , , , , , , , , , , , , , , 
90,Solomon Islands,567,Y,"Proportion of land area covered by forest, percentage",83,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,81,,C, , , , , , , , , , , , ,80.1,,C, , , , , , , , , , , , ,79.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
90,Solomon Islands,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",161.3,,G,161.3,,G,161.3,,G,157.7,,G,154,,G,161.3,,G,161.3,,G,161.3,,G,161.3,,G,165,,G,165,,G,172.3,,G,172.3,,G,179.7,,G,179.7,,G,179.7,,G,179.7,,G,190.7,,G,190.7,,G,194.4,,G,198,,G,198,,G, , , , , , , , , , , , , , , , , , , , , , , , 
90,Solomon Islands,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.08,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.16,,C, , , , , , , , , , , , , , , 
706,Somalia,567,Y,"Proportion of land area covered by forest, percentage",13.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,12,,C, , , , , , , , , , , , ,11.4,,C, , , , , , , , , , , , ,10.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
706,Somalia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",18.3,,G,3.7,,G,11,,G,11,,G,11,,G,11,,G, , , , , , , , , , , , ,517,,G,502.4,,G,586.7,,G,594.1,,G,594.1,,G,594.1,,G,594.1,,G,608.7,,G,601.4,,G,597.7,,G,612.4,,G,575.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
706,Somalia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.25,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.25,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.26,,C, , , , , , , , , , , , , , , 
710,South Africa,567,Y,"Proportion of land area covered by forest, percentage",7.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.6,,C, , , , , , , , , , , , ,7.6,,C, , , , , , , , , , , , ,7.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
710,South Africa,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",319795.4,,G,332618.9,,G,307822.6,,G,321104.5,,G,337576.7,,G,353458.5,,G,358639.9,,G,371327.8,,G,372218.8,,G,371034.4,,G,368610.5,,G,362743.3,,G,347686.6,,G,380810.6,,G,424774.3,,G,391819,,G,422445.7,,G,440989.8,,G,469090,,G,477806.4,,G,454950,,G,477241.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
710,South Africa,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.58,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.03,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.24,,C, , , , , , , , , , , , , , , 
728,South Sudan,567,Y,"Proportion of land area covered by forest, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
728,South Sudan,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
728,South Sudan,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",12.83,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,12.83,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20.8,,C, , , , , , , , , , , , , , , 
724,Spain,567,Y,"Proportion of land area covered by forest, percentage",27.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,34,,C, , , , , , , , , , , , ,34.6,,C, , , , , , , , , , , , ,36.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
724,Spain,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",218597.2,,G,225634.2,,G,233921.6,,G,219253.6,,G,233404.6,,G,241611.3,,G,233305.5,,G,252073.2,,G,261541.4,,G,282355.3,,G,294434.4,,G,297830.1,,G,314518.6,,G,321097.2,,G,339428.5,,G,353462.1,,G,350037.2,,G,358236.6,,G,329281.9,,G,288237.2,,G,270881.3,,G,270675.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
724,Spain,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.77,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.56,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.18,,C, , , , , , , , , , , , , , , 
144,Sri Lanka,567,Y,"Proportion of land area covered by forest, percentage",36.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,32.2,,C, , , , , , , , , , , , ,29.9,,C, , , , , , , , , , , , ,28.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
144,Sri Lanka,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",3868.7,,G,4176.7,,G,5185.1,,G,5042.1,,G,5526.2,,G,5903.9,,G,7062.6,,G,7616.4,,G,7825.4,,G,8617.5,,G,10238.3,,G,10443.6,,G,11056,,G,11078,,G,12299.1,,G,12101.1,,G,11976.4,,G,12354.1,,G,12207.4,,G,13175.5,,G,13388.2,,G,15232.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
144,Sri Lanka,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.26,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.44,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.64,,C, , , , , , , , , , , , , , , 
275,State of Palestine,567,Y,"Proportion of land area covered by forest, percentage",1.5,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.5,,E, , , , , , , , , , , , ,1.5,,E, , , , , , , , , , , , ,1.5,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
275,State of Palestine,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , ,396,,G,601.4,,G,649.1,,G,792.1,,G,1349.5,,G,1155.1,,G,1279.8,,G,1866.5,,G,2742.9,,G,2266.2,,G,2324.9,,G,2053.5,,G,2090.2,,G,2035.2,,G,2247.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
275,State of Palestine,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , 
729,Sudan,567,Y,"Proportion of land area covered by forest, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
729,Sudan,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
729,Sudan,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",1.28,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.28,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.68,,C, , , , , , , , , , , , , , , 
736,Sudan (former),567,Y,"Proportion of land area covered by forest, percentage",32.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,29.7,,C, , , , , , , , , , , , ,29.6,,C, , , , , , , , , , , , ,29.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
736,Sudan (former),749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",5559.2,,G,5386.8,,G,4756.1,,G,2907.9,,G,4444.4,,G,4602.1,,G,4268.4,,G,5419.8,,G,4697.4,,G,5093.5,,G,5533.5,,G,6369.6,,G,8118.7,,G,9072.2,,G,11382.4,,G,10707.6,,G,11503.4,,G,13113.2,,G,13930.9,,G,15427.1,,G,15779.1,,G,16578.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
736,Sudan (former),616,Y,"Terrestrial and marine areas protected to total territorial area, percentage", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
740,Suriname,567,Y,"Proportion of land area covered by forest, percentage",94.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,94.7,,C, , , , , , , , , , , , ,94.7,,C, , , , , , , , , , , , ,94.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
740,Suriname,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1811.5,,G,2101.2,,G,2112.2,,G,2156.2,,G,2163.5,,G,2181.9,,G,2130.5,,G,2141.5,,G,2163.5,,G,2152.5,,G,2126.9,,G,2273.5,,G,2258.9,,G,2247.9,,G,2299.2,,G,2387.2,,G,2449.6,,G,2453.2,,G,2453.2,,G,2475.2,,G,2394.6,,G,1910.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
740,Suriname,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.58,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.49,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.58,,C, , , , , , , , , , , , , , , 
748,Swaziland,567,Y,"Proportion of land area covered by forest, percentage",27.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,30.1,,C, , , , , , , , , , , , ,31.5,,C, , , , , , , , , , , , ,32.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
748,Swaziland,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",425.4,,G,326.4,,G,264,,G,132,,G,484,,G,454.7,,G,341,,G,1202.8,,G,1213.8,,G,1239.4,,G,1188.1,,G,1144.1,,G,1125.8,,G,1041.4,,G,1030.4,,G,1019.4,,G,1015.8,,G,1063.4,,G,1096.4,,G,1045.1,,G,1037.8,,G,1048.8,,G, , , , , , , , , , , , , , , , , , , , , , , , 
748,Swaziland,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",3.98,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.02,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.02,,C, , , , , , , , , , , , , , , 
752,Sweden,567,Y,"Proportion of land area covered by forest, percentage",66.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,66.7,,C, , , , , , , , , , , , ,68.7,,C, , , , , , , , , , , , ,68.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
752,Sweden,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",51946.7,,G,51525,,G,51026.3,,G,51756,,G,54895,,G,55155.3,,G,55910.7,,G,52148.4,,G,52977.1,,G,51107,,G,49350.5,,G,51125.3,,G,57425.2,,G,54781.3,,G,54521,,G,51561.7,,G,49570.5,,G,48059.7,,G,49104.8,,G,43743.6,,G,52573.8,,G,52144.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
752,Sweden,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",5.23,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.13,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13.03,,C, , , , , , , , , , , , , , , 
756,Switzerland,567,Y,"Proportion of land area covered by forest, percentage",28.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,29.9,,C, , , , , , , , , , , , ,30.4,,C, , , , , , , , , , , , ,31,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
756,Switzerland,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",42610.5,,G,42705.9,,G,42793.9,,G,40751.4,,G,41323.4,,G,39225.9,,G,39886,,G,41466.4,,G,41704.8,,G,40700,,G,39049.9,,G,42962.6,,G,40718.4,,G,40205,,G,40392,,G,41374.8,,G,41877.1,,G,38019.5,,G,40392,,G,41602.1,,G,38752.9,,G,36596.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
756,Switzerland,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.21,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.93,,C, , , , , , , , , , , , , , , 
760,Syrian Arab Republic,567,Y,"Proportion of land area covered by forest, percentage",2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.4,,C, , , , , , , , , , , , ,2.5,,C, , , , , , , , , , , , ,2.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
760,Syrian Arab Republic,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",37451.1,,G,43193.6,,G,44436.7,,G,47117.3,,G,48532.7,,G,43996.7,,G,44249.7,,G,40967.7,,G,50281.9,,G,52379.4,,G,51048.3,,G,48785.8,,G,39068.2,,G,54286.3,,G,51110.6,,G,50633.9,,G,53589.5,,G,66468,,G,67542.5,,G,61954,,G,61576.3,,G,57670.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
760,Syrian Arab Republic,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.24,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.37,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.67,,C, , , , , , , , , , , , , , , 
762,Tajikistan,567,Y,"Proportion of land area covered by forest, percentage",2.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.9,,C, , , , , , , , , , , , ,2.9,,C, , , , , , , , , , , , ,2.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
762,Tajikistan,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,7220.3,,G,5170.5,,G,2354.2,,G,2449.6,,G,2827.3,,G,2152.5,,G,2497.2,,G,2519.2,,G,2236.9,,G,2291.9,,G,1881.2,,G,2075.5,,G,2563.2,,G,2442.2,,G,2658.6,,G,3289.3,,G,2970.3,,G,2838.3,,G,2834.6,,G,2783.3,,G, , , , , , , , , , , , , , , , , , , , , , , , 
762,Tajikistan,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",2.61,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,18.49,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21.92,,C, , , , , , , , , , , , , , , 
764,Thailand,567,Y,"Proportion of land area covered by forest, percentage",38.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,37.2,,C, , , , , , , , , , , , ,37,,C, , , , , , , , , , , , ,37.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
764,Thailand,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",95833.4,,G,105235.6,,G,115187.8,,G,130735.9,,G,145469.9,,G,167585.6,,G,186965.7,,G,193096.9,,G,171065.6,,G,182811,,G,188355.5,,G,202132.4,,G,215975.3,,G,232198.1,,G,252344.6,,G,256169.3,,G,264181.7,,G,265061.8,,G,264753.7,,G,279403.4,,G,298141.8,,G,303370.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
764,Thailand,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",8.01,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.12,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12.49,,C, , , , , , , , , , , , , , , 
807,The former Yugoslav Republic of Macedonia,567,Y,"Proportion of land area covered by forest, percentage",35.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,37.7,,C, , , , , , , , , , , , ,38.3,,C, , , , , , , , , , , , ,39.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
807,The former Yugoslav Republic of Macedonia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,10777.3,,G,10340.9,,G,10469.3,,G,10839.7,,G,11741.7,,G,10634.3,,G,12625.5,,G,11723.4,,G,12064.4,,G,11998.4,,G,10935,,G,11309,,G,11191.7,,G,11279.7,,G,10938.7,,G,9493.9,,G,9402.2,,G,8698.1,,G,8602.8,,G,9336.2,,G, , , , , , , , , , , , , , , , , , , , , , , , 
807,The former Yugoslav Republic of Macedonia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",8.17,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.21,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9.7,,C, , , , , , , , , , , , , , , 
626,Timor-Leste,567,Y,"Proportion of land area covered by forest, percentage",65,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,57.4,,C, , , , , , , , , , , , ,53.7,,C, , , , , , , , , , , , ,49.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
626,Timor-Leste,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,161.3,,G,161.3,,G,176,,G,176,,G,179.7,,G,183.4,,G,190.7,,G,183.4,,G,183.4,,G,183.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
626,Timor-Leste,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.57,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.09,,C, , , , , , , , , , , , , , , 
768,Togo,567,Y,"Proportion of land area covered by forest, percentage",12.6,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.9,,E, , , , , , , , , , , , ,7.1,,E, , , , , , , , , , , , ,5.3,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
768,Togo,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",773.7,,G,843.4,,G,836.1,,G,865.4,,G,832.4,,G,953.4,,G,1059.8,,G,986.4,,G,1166.1,,G,1536.5,,G,1356.8,,G,1162.4,,G,1232.1,,G,1463.1,,G,1397.1,,G,1338.5,,G,1221.1,,G,1411.8,,G,1730.8,,G,1683.2,,G,1719.8,,G,2097.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
768,Togo,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",8.75,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.98,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19.75,,C, , , , , , , , , , , , , , , 
772,Tokelau,567,Y,"Proportion of land area covered by forest, percentage",0,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,E, , , , , , , , , , , , ,0,,E, , , , , , , , , , , , ,0,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
772,Tokelau,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
772,Tokelau,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , 
776,Tonga,567,Y,"Proportion of land area covered by forest, percentage",12.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,12.5,,C, , , , , , , , , , , , ,12.5,,C, , , , , , , , , , , , ,12.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
776,Tonga,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",77,,G,95.3,,G,69.7,,G,84.3,,G,91.7,,G,95.3,,G,77,,G,99,,G,88,,G,110,,G,95.3,,G,88,,G,102.7,,G,117.3,,G,110,,G,113.7,,G,128.3,,G,113.7,,G,121,,G,132,,G,117.3,,G,102.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
776,Tonga,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.01,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.51,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.52,,C, , , , , , , , , , , , , , , 
780,Trinidad and Tobago,567,Y,"Proportion of land area covered by forest, percentage",47,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,45.6,,C, , , , , , , , , , , , ,44.8,,C, , , , , , , , , , , , ,44.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
